País de residencia	Tipo de dato	Periodo	Total
Estados Unidos de América	Dato base	2018M08	252.804
Estados Unidos de América	Dato base	2018M07	358.464
Estados Unidos de América	Dato base	2018M06	397.104
Estados Unidos de América	Dato base	2018M05	318.279
Estados Unidos de América	Dato base	2018M04	231.626
Estados Unidos de América	Dato base	2018M03	206.825
Estados Unidos de América	Dato base	2018M02	111.260
Estados Unidos de América	Dato base	2018M01	118.772
Estados Unidos de América	Dato base	2017M12	128.530
Estados Unidos de América	Dato base	2017M11	154.266
Estados Unidos de América	Dato base	2017M10	244.060
Estados Unidos de América	Dato base	2017M09	321.304
Estados Unidos de América	Dato base	2017M08	232.819
Estados Unidos de América	Dato base	2017M07	316.982
Estados Unidos de América	Dato base	2017M06	349.657
Estados Unidos de América	Dato base	2017M05	282.968
Estados Unidos de América	Dato base	2017M04	216.435
Estados Unidos de América	Dato base	2017M03	192.300
Estados Unidos de América	Dato base	2017M02	99.612
Estados Unidos de América	Dato base	2017M01	98.550
Estados Unidos de América	Dato base	2016M12	116.122
Estados Unidos de América	Dato base	2016M11	119.530
Estados Unidos de América	Dato base	2016M10	185.856
Estados Unidos de América	Dato base	2016M09	228.566
Estados Unidos de América	Dato base	2016M08	186.638
Estados Unidos de América	Dato base	2016M07	275.329
Estados Unidos de América	Dato base	2016M06	273.590
Estados Unidos de América	Dato base	2016M05	195.801
Estados Unidos de América	Dato base	2016M04	136.351
Estados Unidos de América	Dato base	2016M03	132.024
Estados Unidos de América	Dato base	2016M02	78.965
Estados Unidos de América	Dato base	2016M01	73.040
Estados Unidos de América	Dato base	2015M12	92.352
Estados Unidos de América	Dato base	2015M11	105.205
Estados Unidos de América	Dato base	2015M10	189.891
Resto América	Dato base	2020M09	50.971
Resto América	Dato base	2020M08	55.385
Resto América	Dato base	2020M07	40.822
Resto América	Dato base	2020M06	.
Resto América	Dato base	2020M05	0
Resto América	Dato base	2020M04	0
Resto América	Dato base	2020M03	136.581
Resto América	Dato base	2020M02	237.255
Resto América	Dato base	2020M01	305.853
Resto América	Dato base	2019M12	236.741
Resto América	Dato base	2019M11	226.741
Resto América	Dato base	2019M10	396.760
Resto América	Dato base	2019M09	424.042
Resto América	Dato base	2019M08	345.582
Resto América	Dato base	2019M07	372.981
Resto América	Dato base	2019M06	370.334
Resto América	Dato base	2019M05	374.846
Resto América	Dato base	2019M04	293.192
Resto América	Dato base	2019M03	264.724
Resto América	Dato base	2019M02	206.506
Resto América	Dato base	2019M01	254.827
Resto América	Dato base	2018M12	203.512
Resto América	Dato base	2018M11	224.808
Resto América	Dato base	2018M10	337.283
Resto América	Dato base	2018M09	364.492
Resto América	Dato base	2018M08	302.021
Resto América	Dato base	2018M07	358.525
Resto América	Dato base	2018M06	325.072
Resto América	Dato base	2018M05	355.114
Resto América	Dato base	2018M04	264.344
Resto América	Dato base	2018M03	228.902
Resto América	Dato base	2018M02	205.773
Resto América	Dato base	2018M01	241.214
Resto América	Dato base	2017M12	191.506
Resto América	Dato base	2017M11	209.297
Resto América	Dato base	2017M10	312.762
Resto América	Dato base	2017M09	392.102
Resto América	Dato base	2017M08	302.425
Resto América	Dato base	2017M07	341.512
Resto América	Dato base	2017M06	323.603
Resto América	Dato base	2017M05	324.824
Resto América	Dato base	2017M04	253.405
Resto América	Dato base	2017M03	167.000
Resto América	Dato base	2017M02	168.197
Resto América	Dato base	2017M01	241.898
Resto América	Dato base	2016M12	169.939
Resto América	Dato base	2016M11	166.440
Resto América	Dato base	2016M10	269.827
Resto América	Dato base	2016M09	297.858
Resto América	Dato base	2016M08	264.711
Resto América	Dato base	2016M07	301.709
Resto América	Dato base	2016M06	251.558
Resto América	Dato base	2016M05	251.011
Resto América	Dato base	2016M04	189.682
Resto América	Dato base	2016M03	133.185
Resto América	Dato base	2016M02	118.069
Resto América	Dato base	2016M01	158.072
Resto América	Dato base	2015M12	126.957
Resto América	Dato base	2015M11	122.747
Resto América	Dato base	2015M10	217.625
Resto del Mundo	Dato base	2020M09	28.457
Resto del Mundo	Dato base	2020M08	76.879
Resto del Mundo	Dato base	2020M07	70.523
Resto del Mundo	Dato base	2020M06	.
Resto del Mundo	Dato base	2020M05	0
Resto del Mundo	Dato base	2020M04	0
Resto del Mundo	Dato base	2020M03	110.127
Resto del Mundo	Dato base	2020M02	283.539
Resto del Mundo	Dato base	2020M01	419.902
Resto del Mundo	Dato base	2019M12	388.502
Resto del Mundo	Dato base	2019M11	408.660
Resto del Mundo	Dato base	2019M10	532.272
Resto del Mundo	Dato base	2019M09	602.447
Resto del Mundo	Dato base	2019M08	636.466
Resto del Mundo	Dato base	2019M07	518.224
Resto del Mundo	Dato base	2019M06	577.667
Resto del Mundo	Dato base	2019M05	410.132
Resto del Mundo	Dato base	2019M04	472.754
Resto del Mundo	Dato base	2019M03	402.645
Resto del Mundo	Dato base	2019M02	321.603
Resto del Mundo	Dato base	2019M01	379.212
Resto del Mundo	Dato base	2018M12	354.885
Resto del Mundo	Dato base	2018M11	363.175
Resto del Mundo	Dato base	2018M10	463.488
Resto del Mundo	Dato base	2018M09	622.279
Resto del Mundo	Dato base	2018M08	564.972
Resto del Mundo	Dato base	2018M07	515.627
Resto del Mundo	Dato base	2018M06	509.213
Resto del Mundo	Dato base	2018M05	397.140
Resto del Mundo	Dato base	2018M04	418.646
Resto del Mundo	Dato base	2018M03	328.561
Resto del Mundo	Dato base	2018M02	314.074
Resto del Mundo	Dato base	2018M01	288.154
Resto del Mundo	Dato base	2017M12	275.228
Resto del Mundo	Dato base	2017M11	278.420
Resto del Mundo	Dato base	2017M10	404.913
Resto del Mundo	Dato base	2017M09	607.450
Resto del Mundo	Dato base	2017M08	627.297
Resto del Mundo	Dato base	2017M07	549.688
Resto del Mundo	Dato base	2017M06	469.392
Resto del Mundo	Dato base	2017M05	431.446
Resto del Mundo	Dato base	2017M04	393.825
Resto del Mundo	Dato base	2017M03	284.555
Resto del Mundo	Dato base	2017M02	249.906
Resto del Mundo	Dato base	2017M01	294.014
Resto del Mundo	Dato base	2016M12	269.200
Resto del Mundo	Dato base	2016M11	275.199
Resto del Mundo	Dato base	2016M10	382.821
Resto del Mundo	Dato base	2016M09	526.047
Resto del Mundo	Dato base	2016M08	547.331
Resto del Mundo	Dato base	2016M07	510.493
Resto del Mundo	Dato base	2016M06	346.420
Resto del Mundo	Dato base	2016M05	365.158
Resto del Mundo	Dato base	2016M04	330.184
Resto del Mundo	Dato base	2016M03	254.638
Resto del Mundo	Dato base	2016M02	249.785
Resto del Mundo	Dato base	2016M01	246.638
Resto del Mundo	Dato base	2015M12	223.824
Resto del Mundo	Dato base	2015M11	242.798
Resto del Mundo	Dato base	2015M10	320.081
